Ball,Score,Outcome,Innings
65.5,7--167,R King to B Turley : No Run,1st Innings - Port Adelaide
65.4,7--167,R King to Z McCabe : 1 run,1st Innings - Port Adelaide
65.3,7--166,R King to Z McCabe : No Run,1st Innings - Port Adelaide
65.2,7--166,R King to Z McCabe : No Run,1st Innings - Port Adelaide
65.1,7--166,R King to Z McCabe : No Run,1st Innings - Port Adelaide
64.6,7--166,D King to B Turley : No Run,1st Innings - Port Adelaide
64.5,7--166,D King to B Turley : No Run,1st Innings - Port Adelaide
64.4,7--166,D King to B Turley : No Run,1st Innings - Port Adelaide
64.3,7--166,D King to B Turley : No Run,1st Innings - Port Adelaide
64.2,7--166,D King to B Turley : No Run,1st Innings - Port Adelaide
64.1,7--166,D King to Z McCabe : 1 run,1st Innings - Port Adelaide
63.6,7--165,M Cranmer to Z McCabe : 1 run,1st Innings - Port Adelaide
63.5,7--164,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
63.4,7--164,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
63.3,7--164,M Cranmer to B Turley : 1 run,1st Innings - Port Adelaide
63.2,7--163,M Cranmer to Z McCabe : 1 run,1st Innings - Port Adelaide
63.1,7--162,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
62.6,7--162,D King to B Turley : No Run,1st Innings - Port Adelaide
62.5,7--162,D King to B Turley : No Run,1st Innings - Port Adelaide
62.4,7--162,D King to Z McCabe : 1 run,1st Innings - Port Adelaide
62.3,7--161,D King to Z McCabe : No Run,1st Innings - Port Adelaide
62.2,7--161,D King to Z McCabe : No Run,1st Innings - Port Adelaide
62.1,7--161,D King to Z McCabe : No Run,1st Innings - Port Adelaide
61.6,7--161,M Cranmer to B Turley : No Run,1st Innings - Port Adelaide
61.5,7--161,M Cranmer to B Turley : No Run,1st Innings - Port Adelaide
61.4,7--161,M Cranmer to B Turley : No Run,1st Innings - Port Adelaide
61.3,7--161,M Cranmer to B Turley : 2 runs,1st Innings - Port Adelaide
61.2,7--159,M Cranmer to B Turley : No Run,1st Innings - Port Adelaide
61.1,7--159,M Cranmer to B Turley : No Run,1st Innings - Port Adelaide
60.6,7--159,D King to Z McCabe : 4 runs,1st Innings - Port Adelaide
60.5,7--155,D King to Z McCabe : No Run,1st Innings - Port Adelaide
60.4,7--155,D King to Z McCabe : No Run,1st Innings - Port Adelaide
60.3,7--155,D King to Z McCabe : No Run,1st Innings - Port Adelaide
60.2,7--155,D King to Z McCabe : 4 runs,1st Innings - Port Adelaide
60.1,7--151,D King to Z McCabe : No Run,1st Innings - Port Adelaide
59.6,7--151,D Mehta to B Turley : No Run,1st Innings - Port Adelaide
59.5,7--151,D Mehta to B Turley : No Run,1st Innings - Port Adelaide
59.4,7--151,D Mehta to B Turley : No Run,1st Innings - Port Adelaide
59.3,7--151,D Mehta to B Turley : No Run,1st Innings - Port Adelaide
59.2,7--151,D Mehta to B Turley : No Run,1st Innings - Port Adelaide
59.1,7--151,D Mehta to B Turley : No Run,1st Innings - Port Adelaide
58.6,7--151,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
58.5,7--151,M Cranmer to B Turley : 1 run,1st Innings - Port Adelaide
58.4,7--150,M Cranmer to B Turley : No Run,1st Innings - Port Adelaide
58.3,7--150,M Cranmer to B Turley : No Run,1st Innings - Port Adelaide
58.2,7--150,M Cranmer to Z McCabe : 1 run,1st Innings - Port Adelaide
58.1,7--149,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
57.6,7--149,D Mehta to B Turley : No Run,1st Innings - Port Adelaide
57.5,7--149,D Mehta to B Turley : No Run,1st Innings - Port Adelaide
57.4,7--149,D Mehta to B Turley : No Run,1st Innings - Port Adelaide
57.3,7--149,D Mehta to B Turley : No Run,1st Innings - Port Adelaide
57.2,7--149,D Mehta to B Turley : No Run,1st Innings - Port Adelaide
57.1,7--149,D Mehta to Z McCabe : 1 run,1st Innings - Port Adelaide
56.6,7--148,M Cranmer to Z McCabe : 1 run,1st Innings - Port Adelaide
56.5,7--147,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
56.4,7--147,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
56.3,7--147,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
56.2,7--147,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
56.1,7--147,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
55.6,7--147,D Mehta to B Turley : No Run,1st Innings - Port Adelaide
55.5,7--147,D Mehta to B Turley : No Run,1st Innings - Port Adelaide
55.4,7--147,D Mehta to B Turley : 2 runs,1st Innings - Port Adelaide
55.3,7--145,D Mehta to B Turley : 2 runs,1st Innings - Port Adelaide
55.2,7--143,D Mehta to Z McCabe : 1 run,1st Innings - Port Adelaide
55.1,7--142,D Mehta to Z McCabe : No Run,1st Innings - Port Adelaide
54.6,7--142,M Cranmer to B Turley : 2 runs,1st Innings - Port Adelaide
54.5,7--140,M Cranmer to W Forster : W Forster dismissed,1st Innings - Port Adelaide
54.4,6--140,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
54.3,6--140,M Cranmer to W Forster : 2 runs,1st Innings - Port Adelaide
54.2,6--138,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
54.1,6--138,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
53.6,6--138,D Mehta to Z McCabe : No Run,1st Innings - Port Adelaide
53.5,6--138,D Mehta to W Forster : 1 run,1st Innings - Port Adelaide
53.4,6--137,D Mehta to W Forster : No Run,1st Innings - Port Adelaide
53.3,6--137,D Mehta to W Forster : No Run,1st Innings - Port Adelaide
53.2,6--137,D Mehta to W Forster : No Run,1st Innings - Port Adelaide
53.1,6--137,D Mehta to Z McCabe : 1 run,1st Innings - Port Adelaide
52.6,6--136,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
52.5,6--136,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
52.4,6--136,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
52.3,6--136,M Cranmer to Z McCabe : 1 run,1st Innings - Port Adelaide
52.2,6--135,M Cranmer to W Forster : 1 run,1st Innings - Port Adelaide
52.1,6--134,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
51.6,6--134,D Mehta to Z McCabe : No Run,1st Innings - Port Adelaide
51.5,6--134,D Mehta to Z McCabe : No Run,1st Innings - Port Adelaide
51.4,6--134,D Mehta to Z McCabe : No Run,1st Innings - Port Adelaide
51.3,6--134,D Mehta to Z McCabe : No Run,1st Innings - Port Adelaide
51.2,6--134,D Mehta to Z McCabe : No Run,1st Innings - Port Adelaide
51.1,6--134,D Mehta to Z McCabe : No Run,1st Innings - Port Adelaide
50.6,6--134,T Robins to W Forster : No Run,1st Innings - Port Adelaide
50.5,6--134,T Robins to W Forster : No Run,1st Innings - Port Adelaide
50.4,6--134,T Robins to W Forster : No Run,1st Innings - Port Adelaide
50.3,6--134,T Robins to W Forster : No Run,1st Innings - Port Adelaide
50.2,6--134,T Robins to Z McCabe : 1 run,1st Innings - Port Adelaide
50.1,6--133,T Robins to Z McCabe : No Run,1st Innings - Port Adelaide
49.6,6--133,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
49.5,6--133,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
49.4,6--133,M Cranmer to W Forster : 2 runs,1st Innings - Port Adelaide
49.3,6--131,M Cranmer to Z McCabe : 1 run,1st Innings - Port Adelaide
49.2,6--130,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
49.1,6--130,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
48.7,6--130,T Robins to W Forster : No Run,1st Innings - Port Adelaide
48.6,6--130,"T Robins to Z McCabe : 1 run, 1nb",1st Innings - Port Adelaide
48.5,6--128,T Robins to W Forster : 1 run,1st Innings - Port Adelaide
48.4,6--127,T Robins to W Forster : No Run,1st Innings - Port Adelaide
48.3,6--127,T Robins to W Forster : No Run,1st Innings - Port Adelaide
48.2,6--127,T Robins to W Forster : No Run,1st Innings - Port Adelaide
48.1,6--127,T Robins to Z McCabe : 1 run,1st Innings - Port Adelaide
47.6,6--126,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
47.5,6--126,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
47.4,6--126,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
47.3,6--126,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
47.2,6--126,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
47.1,6--126,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
46.6,6--126,T Robins to Z McCabe : No Run,1st Innings - Port Adelaide
46.5,6--126,T Robins to Z McCabe : No Run,1st Innings - Port Adelaide
46.4,6--126,T Robins to Z McCabe : 2 runs,1st Innings - Port Adelaide
46.3,6--124,T Robins to Z McCabe : No Run,1st Innings - Port Adelaide
46.2,6--124,T Robins to Z McCabe : 4 runs,1st Innings - Port Adelaide
46.1,6--120,T Robins to Z McCabe : No Run,1st Innings - Port Adelaide
45.6,6--120,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
45.5,6--120,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
45.4,6--120,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
45.3,6--120,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
45.2,6--120,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
45.1,6--120,M Cranmer to W Forster : No Run,1st Innings - Port Adelaide
44.6,6--120,J Size to Z McCabe : No Run,1st Innings - Port Adelaide
44.5,6--120,J Size to Z McCabe : No Run,1st Innings - Port Adelaide
44.4,6--120,J Size to W Forster : 1 run,1st Innings - Port Adelaide
44.3,6--119,J Size to W Forster : No Run,1st Innings - Port Adelaide
44.2,6--119,J Size to W Forster : 2 runs,1st Innings - Port Adelaide
44.1,6--117,J Size to W Forster : No Run,1st Innings - Port Adelaide
43.6,6--117,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
43.5,6--117,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
43.4,6--117,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
43.3,6--117,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
43.2,6--117,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
43.1,6--117,M Cranmer to Z McCabe : No Run,1st Innings - Port Adelaide
42.6,6--117,J Size to W Forster : No Run,1st Innings - Port Adelaide
42.5,6--117,J Size to W Forster : No Run,1st Innings - Port Adelaide
42.4,6--117,J Size to W Forster : No Run,1st Innings - Port Adelaide
42.3,6--117,J Size to J Carder : J Carder dismissed,1st Innings - Port Adelaide
42.2,5--117,J Size to Z McCabe : 1 run,1st Innings - Port Adelaide
42.1,5--116,J Size to Z McCabe : No Run,1st Innings - Port Adelaide
41.6,5--116,M Cranmer to J Carder : No Run,1st Innings - Port Adelaide
